name,anchor_cid
andriivka,595355232778815130
antonivka,582812459393168760
avdiivka,593322802715200670
bakhmut,595285744503658381
berestove,595639679872018041
berkhivka,595467881181730200
bohdanivka,609435531435519747
blahodatne,585125947820496573
chasiv yar,595164007950452831
dibrova,587260782790427322
hrekivka,598053485853618686
ivanivka,602341070098253426
klishchiivka,594972800301516680
kurdiumivka,594716824545640972
lyptsi,602190144948557859
makiivka,592949136265696219
mala tokmachka,591202248510283330
neskuchne,602183745447435463
novodanylivka,590668706197879339
novodonetske,591655565129584228
novodarivka,592560768144340055
novokairy,588464228331637398
novopokrovka,592996681550314659
novoprokopivka,590161709722277909
novoselivka,601152523799288949
novoselivske,595055740412809037
oleksandrivka,606594891605964458
opytne,595084447976438766
pavlivka,585370382999889806
petrivka,579897250340017930
ploshchanka,597897282188193674
pokrovsk,593918102361721987
preobrazhenka,584922538169813043
rivnopil,590801089976248563
rozdolivka,596169704606114186
serebrianka,582567783694972278
serhiivka,585403269564850080
shevchenko,591268111831464945
shevchenkivske,593124074574260570
solodke,591801568248376061
spirne,602833402199392934
staromaiorske,591644329494970580
staromlynivka,591399181351690919
stelmakhivka,599059912655175345
stepove,580466668514293968
storozheve,591842151393663273
synkivka,600277170811170081
terny,596871407772570572
tiahynka,588063106748537631
urozhaine,588277350009401400
vesele,579854515415599540
vodiane,592010771806952365
volodymyrivka,591210211377323723
yakovlivka,595144212442183431
zahirne,591492248287495914
zelenyi hai,601040592657685436
zmiivka,587803434728209638
zolochiv,602517546010124283
zoriane,582367994700835047
zaitseve,582139382181418448
zarichne,601737373791605873
zahorivka,607838340472495646
yahidne,599832298098866530
yurivka,594549965064907206
zelenopillia,594730929218247361
zaitseve,594427210605973950
zolochivske,600862669340949865
zelenivka,598466429777659327
zaitseve,594427210605973950
krasne,584657375478061386
krasnopillia,597698133141373366
krynky,587321655361269753
kyrylivka,599243501029949899
kurakhove,592696244295656061
lysychansk,596568518091392295
malynivka,585842640424873142
makiivka,592949136265696219
myrne,596418400392434026
mykolaivka,600218256744000128
nadiia,591232210199577419
nevelske,592964340449537422
balka zhuravka,580799658714843658
nove,591857407113805512
novoiehorivka,597904901458268113
novoliubivka,597669292439087074
novomaiorske,591553662735598779
novomykhailivka,585146731168584440
novovodiane,598164094146495228
petropavlivka,585260436131427094
myrne,596418400392434026
pletenivka,602732968685739087
plyashevka,602699833001371120
pisky,601200494290733957
pisky-radkivski,598140201243015878
ploshchanka,597897282188193674
prudianka,602331642645871773
prymorske,584357788624890430
sablukivka,588936348316851313
serebrianka,582567783694972278
shevchenko,591268111831464945
shyroka balka,586641899476342547
sosnove,597313613312002897
storozheve,591842151393663273
tokmak,589505818032567845
tomyna balka,586801985792477935
torske,595060159935780530
urozhaine,591644849186038459
vovchansk,602520011322315507
zaitseve,594427210605973950
